coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
237,Tom Landry,29,1960-1988,418,250,162,6,.607,88,18,36,20,16,.556,2.4,1,2,2,5
238,Dick LeBeau,3,2000-2002,45,12,33,0,.267,-21,0,0,0,0,,5.0,4,0,0,0
239,Wally Lemm,10,1961-1970,135,64,64,7,.500,0,3,3,1,2,.333,3.0,1,1,0,0
240,Jim Leonard,1,1945,10,2,8,0,.200,-6,0,0,0,0,,5.0,5,0,0,0
241,Marv Levy,17,1978-1997,255,143,112,0,.561,31,8,19,11,8,.579,2.7,1,0,0,4
242,Art Lewis,1,1938,8,4,4,0,.500,0,0,0,0,0,,4.0,4,0,0,0
243,Marvin Lewis,12,2003-2014,192,100,90,2,.526,10,6,6,0,6,.000,2.3,1,0,0,0
244,Scott Linehan,3,2006-2008,36,11,25,0,.306,-14,0,0,0,0,,3.3,2,0,0,0
245,Vince Lombardi,10,1959-1969,136,96,34,6,.738,62,6,10,9,1,.900,1.5,1,5,2,2
246,Leo Lyons,2,1923-1924,7,0,7,0,.000,-7,0,0,0,0,,17.5,16,0,0,0
247,John Mackovic,4,1983-1986,64,30,34,0,.469,-4,1,1,0,1,.000,4.0,2,0,0,0
248,Dick MacPherson,2,1991-1992,32,8,24,0,.250,-16,0,0,0,0,,4.5,4,0,0,0
249,John Madden,10,1969-1978,142,103,32,7,.759,71,8,16,9,7,.563,1.3,1,1,1,1
250,Lou Mahrt,1,1927,8,1,6,1,.143,-5,0,0,0,0,,10.0,10,0,0,0
251,Ray Malavasi,6,1966-1982,85,44,41,0,.518,3,3,6,3,3,.500,2.5,1,0,0,1
252,Eric Mangini,5,2006-2010,80,33,47,0,.413,-14,1,1,0,1,.000,3.0,2,0,0,0
253,Ted Marchibroda,12,1975-1998,186,87,98,1,.470,-11,4,6,2,4,.333,3.3,1,0,0,0
254,Rod Marinelli,3,2006-2008,48,10,38,0,.208,-28,0,0,0,0,,3.7,3,0,0,0
255,Steve Mariucci,9,1997-2005,139,72,67,0,.518,5,4,7,3,4,.429,2.7,1,0,0,0
256,Doug Marrone,2,2013-2014,32,15,17,0,.469,-2,0,0,0,0,,3.0,2,,,
257,Billy Marshall,2,1920-1921,15,3,8,4,.273,-5,0,0,0,0,,12.5,9,0,0,0
258,Mike Martz,6,2000-2005,85,53,32,0,.624,21,4,7,3,4,.429,1.7,1,0,0,1
259,Ned Mathews,1,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
260,John Mazur,3,1970-1972,30,9,21,0,.300,-12,0,0,0,0,,4.3,3,0,0,0
261,Don McCafferty,4,1970-1973,47,28,17,2,.620,11,2,5,4,1,.800,2.0,1,1,1,1
262,Mike McCarthy,9,2006-2014,144,94,49,1,.656,45,7,13,7,6,.538,1.6,1,1,1,1
263,Mike McCormack,6,1973-1982,81,29,51,1,.364,-22,0,0,0,0,,3.8,3,0,0,0
264,Mike McCoy,2,2013-2014,32,18,14,0,.563,4,1,2,1,1,.500,2.5,2,,,
265,Pete McCulley,1,1978,9,1,8,0,.111,-7,0,0,0,0,,4.0,4,0,0,0
266,Josh McDaniels,2,2009-2010,28,11,17,0,.393,-6,0,0,0,0,,3.0,2,0,0,0
267,Cap McEwan,2,1933-1934,21,9,11,1,.450,-2,0,0,0,0,,2.5,2,0,0,0
268,Alfred McGall,1,1930,3,0,3,0,.000,-3,0,0,0,0,,11.0,11,0,0,0
269,Dave McGinnis,4,2000-2003,57,17,40,0,.298,-23,0,0,0,0,,4.3,4,0,0,0
270,Wally McIlwain,1,1926,2,0,2,0,.000,-2,0,0,0,0,,16.0,16,0,0,0
271,John McKay,9,1976-1984,133,44,88,1,.335,-44,3,4,1,3,.250,3.6,1,0,0,0
272,Ed McKeever,1,1948,14,1,13,0,.071,-12,0,0,0,0,,4.0,4,0,0,0
273,Ray McLean,2,1953-1958,14,1,12,1,.077,-11,0,0,0,0,,6.0,6,0,0,0
274,Bo McMillin,4,1948-1951,38,14,24,0,.368,-10,0,0,0,0,,4.5,4,0,0,0
275,Bill McPeak,5,1961-1965,70,21,46,3,.313,-25,0,0,0,0,,4.8,3,0,0,0
276,John McVay,3,1976-1978,37,14,23,0,.378,-9,0,0,0,0,,5.0,5,,,
277,Jack Meagher,1,1946,6,1,5,0,.167,-4,0,0,0,0,,4.0,4,0,0,0
278,Harry Mehre,1,1923,9,2,5,2,.286,-3,0,0,0,0,,13.0,13,0,0,0
279,Ken Meyer,1,1977,14,5,9,0,.357,-4,0,0,0,0,,3.0,3,0,0,0
280,Ron Meyer,9,1982-1991,104,54,50,0,.519,4,2,2,0,2,.000,2.8,1,0,0,0
281,Walt Michaels,6,1977-1982,87,39,47,1,.454,-8,2,4,2,2,.500,3.3,2,0,0,0
282,John Michelosen,4,1948-1951,48,20,26,2,.435,-6,0,0,0,0,,3.0,2,0,0,0
283,Red Miller,4,1977-1980,62,40,22,0,.645,18,3,5,2,3,.400,2.0,1,0,0,1
284,Wayne Millner,1,1951,10,2,8,0,.200,-6,0,0,0,0,,5.0,5,0,0,0
285,Dick Modzelewski,1,1977,1,0,1,0,.000,-1,0,0,0,0,,4.0,4,,,
286,Gary Moeller,1,2000,7,4,3,0,.571,1,0,0,0,0,,4.0,4,,,
287,Keith Molesworth,1,1953,12,3,9,0,.250,-6,0,0,0,0,,5.0,5,0,0,0
289,Jim Mora,15,1986-2001,231,125,106,0,.541,19,6,6,0,6,.000,2.9,1,0,0,0
289,Jim Mora,4,2004-2009,64,31,33,0,.484,-2,1,2,1,1,.500,2.5,1,0,0,0
290,Charley Moran,1,1927,8,2,5,1,.286,-3,0,0,0,0,,7.0,7,0,0,0
291,Marty Mornhinweg,2,2001-2002,32,5,27,0,.156,-22,0,0,0,0,,4.5,4,0,0,0
292,Raheem Morris,3,2009-2011,48,17,31,0,.354,-14,0,0,0,0,,3.7,3,,,
293,Mike Mularkey,3,2004-2012,48,16,32,0,.333,-16,0,0,0,0,,3.3,3,0,0,0
294,Brick Muller,1,1926,10,6,3,1,.667,3,0,0,0,0,,6.0,6,0,0,0
295,Mike Munchak,3,2011-2013,48,22,26,0,.458,-4,0,0,0,0,,2.3,2,,,
296,Johnny Murphy,1,1924,4,0,4,0,.000,-4,0,0,0,0,,16.0,16,0,0,0
297,Greasy Neale,10,1941-1950,111,63,43,5,.594,20,3,4,3,1,.750,2.4,1,2,0,0
298,Al Nesser,1,1926,2,0,1,1,.000,-1,0,0,0,0,,16.0,16,0,0,0
299,Ted Nesser,2,1920-1921,19,3,14,2,.176,-11,0,0,0,0,,15.0,13,0,0,0
300,Ernie Nevers,4,1927-1939,41,12,27,2,.308,-15,0,0,0,0,,6.8,4,0,0,0
301,Frank Nied,1,1926,6,1,3,2,.250,-2,0,0,0,0,,16.0,16,0,0,0
302,Mike Nixon,3,1959-1965,38,6,30,2,.167,-24,0,0,0,0,,6.0,5,0,0,0
303,Dick Nolan,11,1968-1980,156,69,82,5,.457,-13,3,5,2,3,.400,2.4,1,0,0,0
304,Mike Nolan,4,2005-2008,55,18,37,0,.327,-19,0,0,0,0,,3.0,2,,,
305,Chuck Noll,23,1969-1991,342,193,148,1,.566,45,12,24,16,8,.667,2.1,1,4,4,4
306,John North,3,1973-1975,34,11,23,0,.324,-12,0,0,0,0,,3.7,3,0,0,0
307,Bill O'Brien,1,2014,16,9,7,0,.563,2,0,0,0,0,,2.0,2,,,
308,Fred O'Connor,1,1978,7,1,6,0,.143,-5,0,0,0,0,,4.0,4,0,0,0
309,Steve Owen,23,1931-1953,268,151,100,17,.602,51,10,10,2,8,.200,2.3,1,2,,
310,Chuck Pagano,3,2012-2014,48,33,15,0,.688,18,3,6,3,3,.500,1.3,1,,,
311,Mike Palm,1,1933,7,3,3,1,.500,0,0,0,0,0,,4.0,4,0,0,0
312,Chris Palmer,2,1999-2000,32,5,27,0,.156,-22,0,0,0,0,,6.0,6,,,
313,Bill Parcells,19,1983-2006,303,172,130,1,.569,42,10,19,11,8,.579,2.5,1,2,2,3
314,Jack Pardee,11,1975-1994,164,87,77,0,.530,10,5,6,1,5,.167,2.4,1,0,0,0
315,Buddy Parker,15,1949-1964,188,104,75,9,.581,29,3,4,3,1,.750,3.2,1,2,0,0
316,Jack Patera,7,1976-1982,94,35,59,0,.372,-24,0,0,0,0,,4.0,3,0,0,0
317,Sean Payton,8,2006-2014,128,80,48,0,.625,32,5,10,6,4,.600,2.0,1,1,1,1
318,Pat Peppler,1,1976,9,3,6,0,.333,-3,0,0,0,0,,3.0,3,0,0,0
319,Ray Perkins,8,1979-1990,117,42,75,0,.359,-33,1,2,1,1,.500,3.8,2,0,0,0
320,Bill Peterson,2,1972-1973,19,1,18,0,.053,-17,0,0,0,0,,4.0,4,0,0,0
321,Richie Petitbon,1,1993,16,4,12,0,.250,-8,0,0,0,0,,5.0,5,0,0,0
322,Bobby Petrino,1,2007,13,3,10,0,.231,-7,0,0,0,0,,4.0,4,,,
323,Mike Pettine,1,2014,16,7,9,0,.438,-2,0,0,0,0,,4.0,4,,,
324,Jimmy Phelan,4,1948-1952,50,13,35,2,.271,-22,0,0,0,0,,4.8,3,0,0,0
325,Joe Philbin,3,2012-2014,48,23,25,0,.479,-2,0,0,0,0,,2.7,2,,,
326,Bum Phillips,11,1975-1985,159,82,77,0,.516,5,3,7,4,3,.571,2.8,2,0,0,0
327,Wade Phillips,12,1985-2013,146,82,64,0,.562,18,5,6,1,5,.167,2.9,1,0,0,0
328,Al Pierotti,1,1920,5,2,2,1,.500,0,0,0,0,0,,10.0,10,0,0,0
329,Fritz Pollard,2,1921-1925,13,8,4,1,.667,4,0,0,0,0,,8.5,3,0,0,0
330,Hampton Pool,5,1946-1954,47,26,19,2,.578,7,1,1,0,1,.000,3.2,1,0,0,0
331,Earl Potteiger,3,1924-1928,31,15,12,4,.556,3,0,0,0,0,,7.7,1,1,0,0
332,Ray Prochaska,1,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
333,Tommy Prothro,7,1971-1978,88,35,51,2,.408,-16,0,0,0,0,,3.3,2,0,0,0
334,John Ralston,5,1972-1976,70,34,33,3,.507,1,0,0,0,0,,2.4,2,0,0,0
335,Buster Ramsey,2,1960-1961,28,11,16,1,.407,-5,0,0,0,0,,3.5,3,0,0,0
336,Dick Rauch,5,1925-1929,60,33,24,3,.579,9,0,0,0,0,,4.8,2,0,0,0
337,John Rauch,5,1966-1970,70,40,28,2,.588,12,2,4,2,2,.500,2.2,1,0,0,1
338,Dan Reeves,23,1981-2003,357,190,165,2,.535,25,9,20,11,9,.550,2.7,1,0,0,4
339,Andy Reid,16,1999-2014,256,150,105,1,.588,45,10,20,10,10,.500,2.2,1,0,0,1
340,Ray Rhodes,5,1995-1999,80,37,42,1,.469,-5,2,3,1,2,.333,3.2,2,0,0,0
341,Homer Rice,2,1978-1979,27,8,19,0,.296,-11,0,0,0,0,,4.0,4,0,0,0
342,Ray Richards,3,1955-1957,36,14,21,1,.400,-7,0,0,0,0,,4.0,2,0,0,0
343,Mike Riley,3,1999-2001,48,14,34,0,.292,-20,0,0,0,0,,4.3,3,0,0,0
344,Jim Ringo,2,1976-1977,23,3,20,0,.130,-17,0,0,0,0,,4.5,4,0,0,0
345,Ron Rivera,4,2011-2014,64,32,31,1,.508,1,2,3,1,2,.333,1.8,1,,,
346,Harry Robb,2,1925-1926,18,5,13,0,.278,-8,0,0,0,0,,15.5,11,0,0,0
347,J.D. Roberts,3,1970-1972,35,7,25,3,.227,-18,0,0,0,0,,4.0,4,0,0,0
348,Ed Robinson,1,1931,11,4,4,3,.500,0,0,0,0,0,,6.0,6,0,0,0
349,John Robinson,9,1983-1991,143,75,68,0,.524,7,6,10,4,6,.400,2.3,1,0,0,0
350,Terry Robiskie,2,2000-2004,8,2,6,0,.250,-4,0,0,0,0,,3.5,3,,,
351,Charley Rogers,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
352,Darryl Rogers,4,1985-1988,58,18,40,0,.310,-22,0,0,0,0,,4.0,3,0,0,0
353,Gene Ronzani,4,1950-1953,46,14,31,1,.311,-17,0,0,0,0,,5.0,4,0,0,0
354,Tam Rose,1,1921,1,0,1,0,.000,-1,0,0,0,0,,18.0,18,0,0,0
355,Bobby Ross,9,1992-2000,137,74,63,0,.540,11,5,8,3,5,.375,2.8,1,0,0,1
356,Babe Ruetz,3,1922-1924,31,14,11,6,.560,3,0,0,0,0,,7.7,6,0,0,0
357,Clive Rush,2,1969-1970,21,5,16,0,.238,-11,0,0,0,0,,4.0,3,0,0,0
358,Rod Rust,1,1990,16,1,15,0,.063,-14,0,0,0,0,,5.0,5,0,0,0
359,Sam Rutigliano,7,1978-1984,97,47,50,0,.485,-3,2,2,0,2,.000,2.7,1,,,
360,Buddy Ryan,7,1986-1995,111,55,55,1,.500,0,3,3,0,3,.000,3.0,1,0,0,0
361,Rex Ryan,6,2009-2014,96,46,50,0,.479,-4,2,6,4,2,.667,2.5,2,0,0,0
362,Lou Rymkus,2,1960-1961,19,11,7,1,.611,4,1,1,1,0,1.000,1.0,1,1,0,0
363,Lou Saban,16,1960-1976,201,95,99,7,.490,-4,4,4,2,2,.500,3.0,1,2,0,0
364,Nick Saban,2,2005-2006,32,15,17,0,.469,-2,0,0,0,0,,3.0,2,0,0,0
365,Lenny Sachs,1,1926,4,0,4,0,.000,-4,0,0,0,0,,21.0,21,0,0,0
366,Andy Salata,1,1930,3,0,3,0,.000,-3,0,0,0,0,,11.0,11,0,0,0
367,John Sandusky,1,1972,9,4,5,0,.444,-1,0,0,0,0,,3.0,3,0,0,0
368,Al Saunders,3,1986-1988,39,17,22,0,.436,-5,0,0,0,0,,4.0,3,0,0,0
369,Dewey Scanlon,4,1924-1929,36,17,15,4,.531,2,0,0,0,0,,8.0,4,0,0,0
370,Greg Schiano,2,2012-2013,32,11,21,0,.344,-10,0,0,0,0,,4.0,4,,,
371,Paul Schissler,4,1933-1936,46,14,29,3,.326,-15,0,0,0,0,,3.8,2,0,0,0
372,Joe Schmidt,6,1967-1972,84,43,34,7,.558,9,1,1,0,1,.000,2.5,2,0,0,0
373,Howard Schnellenberger,2,1973-1974,17,4,13,0,.235,-9,0,0,0,0,,5.0,5,0,0,0
374,Marty Schottenheimer,21,1984-2006,327,200,126,1,.613,74,13,18,5,13,.278,2.0,1,0,0,0
375,Jim Schwartz,5,2009-2013,80,29,51,0,.363,-22,1,1,0,1,.000,3.2,2,0,0,0
376,Ralph Scott,1,1927,16,7,8,1,.467,-1,0,0,0,0,,6.0,6,0,0,0
377,Tom Scott,1,1946,7,1,6,0,.143,-5,0,0,0,0,,2.0,2,0,0,0
378,George Seifert,11,1989-2001,176,114,62,0,.648,52,7,15,10,5,.667,1.9,1,2,2,2
379,Mike Shanahan,20,1988-2013,308,170,138,0,.552,32,8,14,8,6,.571,2.6,1,2,2,2
380,Clark Shaughnessy,2,1948-1949,24,14,7,3,.667,7,1,1,0,1,.000,2.0,1,0,0,0
381,Buck Shaw,12,1946-1960,150,90,55,5,.621,35,2,3,2,1,.667,2.5,1,1,0,0
382,Art Shell,7,1989-2006,108,56,52,0,.519,4,3,5,2,3,.400,2.9,1,,,
383,Allie Sherman,8,1961-1968,112,57,51,4,.528,6,3,3,0,3,.000,3.0,1,,,
384,Mike Sherman,6,2000-2005,96,57,39,0,.594,18,4,6,2,4,.333,2.0,1,,,
385,Ted Shipkey,1,1947,3,2,1,0,.667,1,0,0,0,0,,3.0,3,0,0,0
386,Ken Shipp,1,1975,5,1,4,0,.200,-3,0,0,0,0,,4.0,4,0,0,0
387,Jim Shofner,1,1990,7,1,6,0,.143,-5,0,0,0,0,,4.0,4,,,
388,David Shula,5,1992-1996,71,19,52,0,.268,-33,0,0,0,0,,3.4,3,0,0,0
389,Don Shula,33,1963-1995,490,328,156,6,.677,172,19,36,19,17,.528,1.8,1,2,2,6
390,Pat Shurmur,2,2011-2012,32,9,23,0,.281,-14,0,0,0,0,,4.0,4,,,
391,Herb Sies,1,1923,8,2,3,3,.400,-1,0,0,0,0,,12.0,12,0,0,0
392,Mike Singletary,3,2008-2010,40,18,22,0,.450,-4,0,0,0,0,,2.3,2,,,
393,Nick Skorich,7,1961-1974,98,45,48,5,.484,-3,2,2,0,2,.000,3.7,1,0,0,0
394,Clipper Smith,2,1947-1948,24,7,16,1,.304,-9,0,0,0,0,,4.0,3,0,0,0
395,Jerry Smith,1,1971,5,2,3,0,.400,-1,0,0,0,0,,4.0,4,0,0,0
396,Lovie Smith,10,2004-2014,160,83,77,0,.519,6,3,6,3,3,.500,2.6,1,0,0,1
397,Mike Smith,7,2008-2014,112,66,46,0,.589,20,4,5,1,4,.200,2.0,1,0,0,0
398,Bob Snyder,1,1947,12,6,6,0,.500,0,0,0,0,0,,4.0,4,0,0,0
399,Steve Spagnuolo,3,2009-2011,48,10,38,0,.208,-28,0,0,0,0,,3.3,2,0,0,0
400,Tony Sparano,5,2008-2014,73,32,41,0,.438,-9,1,1,0,1,.000,2.8,1,0,0,0
401,Mac Speedie,3,1964-1966,26,6,19,1,.240,-13,0,0,0,0,,4.0,4,0,0,0
402,Steve Spurrier,2,2002-2003,32,12,20,0,.375,-8,0,0,0,0,,3.0,3,0,0,0
403,Gene Stallings,4,1986-1989,58,23,34,1,.405,-11,0,0,0,0,,4.0,3,0,0,0
404,Dick Stanfel,1,1980,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,0,0,0
405,Bart Starr,9,1975-1983,131,52,76,3,.408,-24,1,2,1,1,.500,3.2,1,0,0,0
406,Les Steckel,1,1984,16,3,13,0,.188,-10,0,0,0,0,,5.0,5,,,
407,Kay Stephenson,3,1983-1985,36,10,26,0,.278,-16,0,0,0,0,,4.3,3,0,0,0
408,Joey Sternaman,1,1923,7,4,3,0,.571,1,0,0,0,0,,7.0,7,0,0,0
409,Mal Stevens,1,1946,7,2,4,1,.333,-2,0,0,0,0,,2.0,2,0,0,0
410,Pete Stinchcomb,1,1923,7,3,4,0,.429,-1,0,0,0,0,,8.0,8,0,0,0
411,Carl Storck,5,1922-1926,38,8,26,4,.235,-18,0,0,0,0,,13.6,7,0,0,0
412,Red Strader,4,1948-1955,46,24,22,0,.522,2,1,1,0,1,.000,3.3,2,0,0,0
413,Hank Stram,17,1960-1977,238,131,97,10,.574,34,5,8,5,3,.625,2.2,1,2,1,2
414,Eric Studesville,1,2010,4,1,3,0,.250,-2,0,0,0,0,,4.0,4,,,
415,Chuck Studley,1,1983,10,2,8,0,.200,-6,0,0,0,0,,4.0,4,,,
416,Joe Stydahar,5,1950-1954,49,20,28,1,.417,-8,2,3,2,1,.667,3.0,1,1,0,0
417,Jock Sutherland,4,1940-1947,45,28,16,1,.636,12,1,1,0,1,.000,2.0,1,0,0,0
418,Harland Svare,7,1962-1973,74,21,48,5,.310,-27,0,0,0,0,,5.1,3,0,0,0
419,Barry Switzer,4,1994-1997,64,40,24,0,.625,16,3,7,5,2,.714,1.8,1,1,1,1
420,Nelson Talbot,2,1920-1921,18,9,6,3,.600,3,0,0,0,0,,7.0,6,0,0,0
421,Hugh Taylor,1,1965,14,4,10,0,.286,-6,0,0,0,0,,4.0,4,0,0,0
422,Gus Tebell,1,1923,3,2,0,1,1.000,2,0,0,0,0,,8.0,8,0,0,0
423,Emmitt Thomas,1,2007,3,1,2,0,.333,-1,0,0,0,0,,4.0,4,,,
424,Joe Thomas,1,1974,11,2,9,0,.182,-7,0,0,0,0,,5.0,5,0,0,0
425,Jim Thorpe,4,1920-1923,41,14,25,2,.359,-11,0,0,0,0,,12.0,8,0,0,0
426,Mike Tice,5,2001-2005,65,32,33,0,.492,-1,1,2,1,1,.500,2.4,2,,,
427,Elgie Tobin,2,1920-1921,23,16,3,4,.842,13,0,0,0,0,,2.0,1,1,0,0
428,Vince Tobin,5,1996-2000,71,28,43,0,.394,-15,1,2,1,1,.500,4.0,2,0,0,0
429,Dick Todd,1,1951,9,5,4,0,.556,1,0,0,0,0,,3.0,3,0,0,0
430,Russell Tollefson,1,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
431,Mike Tomlin,8,2007-2014,128,82,46,0,.641,36,5,9,5,4,.556,1.8,1,1,1,2
432,Jim Tomsula,1,2010,1,1,0,0,1.000,1,0,0,0,0,,3.0,3,,,
433,Marc Trestman,2,2013-2014,32,13,19,0,.406,-6,0,0,0,0,,3.0,2,,,
434,Jim Trimble,4,1952-1955,48,25,20,3,.556,5,0,0,0,0,,2.5,2,0,0,0
435,Mel Tucker,1,2011,5,2,3,0,.400,-1,0,0,0,0,,3.0,3,,,
436,Bulldog Turner,1,1962,14,5,9,0,.357,-4,0,0,0,0,,4.0,4,0,0,0
437,Norv Turner,15,1994-2012,237,114,122,1,.483,-8,4,8,4,4,.500,2.5,1,0,0,0
438,Rube Ursella,3,1920-1925,24,12,8,4,.600,4,0,0,0,0,,8.3,4,0,0,0
439,Norm Van Brocklin,13,1961-1974,173,66,100,7,.398,-34,0,0,0,0,,3.9,2,0,0,0
440,Rick Venturi,2,1991-1996,19,2,17,0,.105,-15,0,0,0,0,,5.0,5,0,0,0
441,Dick Vermeil,15,1976-2005,229,120,109,0,.524,11,6,11,6,5,.545,2.9,1,1,1,2
442,Joe Vitt,2,2005-2012,21,9,12,0,.429,-3,0,0,0,0,,2.5,2,,,
443,Carl Voyles,1,1948,14,2,12,0,.143,-10,0,0,0,0,,4.0,4,0,0,0
444,Charlie Waller,2,1969-1970,19,9,7,3,.563,2,0,0,0,0,,3.0,3,0,0,0
445,Ron Waller,1,1973,6,1,5,0,.167,-4,0,0,0,0,,4.0,4,0,0,0
446,Adam Walsh,2,1945-1946,21,15,5,1,.750,10,1,1,1,0,1.000,1.5,1,1,0,0
447,Bill Walsh,10,1979-1988,152,92,59,1,.609,33,7,14,10,4,.714,1.8,1,3,3,3
448,Chile Walsh,1,1934,3,1,2,0,.333,-1,0,0,0,0,,5.0,5,0,0,0
449,Joe Walton,7,1983-1989,111,53,57,1,.482,-4,2,3,1,2,.333,3.7,2,0,0,0
450,Dave Wannstedt,11,1993-2004,169,82,87,0,.485,-5,3,5,2,3,.400,3.3,1,0,0,0
451,Bob Waterfield,3,1960-1962,34,9,24,1,.273,-15,0,0,0,0,,6.3,6,0,0,0
452,Red Weaver,2,1924-1925,17,4,13,0,.235,-9,0,0,0,0,,13.0,10,0,0,0
453,Alex Webster,5,1969-1973,70,29,40,1,.421,-11,0,0,0,0,,3.4,2,,,
454,Ed Weir,2,1927-1928,26,15,7,4,.682,8,0,0,0,0,,4.5,2,0,0,0
455,John Whelchel,1,1949,7,3,3,1,.500,0,0,0,0,0,,4.0,4,0,0,0
456,Ken Whisenhunt,7,2007-2014,112,47,65,0,.420,-18,2,6,4,2,.667,2.6,1,0,0,1
457,Mike White,2,1995-1996,32,15,17,0,.469,-2,0,0,0,0,,4.5,4,,,
458,Paul Wiggin,3,1975-1977,35,11,24,0,.314,-13,0,0,0,0,,4.0,3,0,0,0
459,Hubert Wiggs,1,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
460,Willie Wilkin,1,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
461,Bud Wilkinson,2,1978-1979,29,9,20,0,.310,-11,0,0,0,0,,4.5,4,0,0,0
462,Gregg Williams,3,2001-2003,48,17,31,0,.354,-14,0,0,0,0,,4.0,3,0,0,0
463,Jerry Williams,3,1969-1971,31,7,22,2,.241,-15,0,0,0,0,,4.0,3,0,0,0
464,Richard Williamson,2,1990-1991,19,4,15,0,.211,-11,0,0,0,0,,3.5,2,,,
465,Ray Willsey,1,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
466,George Wilson,12,1957-1969,160,68,84,8,.447,-16,1,2,2,0,1.000,3.3,1,1,0,0
467,Larry Wilson,1,1979,3,2,1,0,.667,1,0,0,0,0,,5.0,5,0,0,0
468,Charley Winner,7,1966-1975,93,44,44,5,.500,0,0,0,0,0,,3.3,2,0,0,0
469,Hoge Workman,1,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
470,Lud Wray,4,1932-1935,41,13,25,3,.342,-12,0,0,0,0,,4.0,3,0,0,0
471,Sam Wyche,12,1984-1995,191,84,107,0,.440,-23,2,5,3,2,.600,3.2,1,0,0,1
472,Doug Wycoff,2,1929-1930,22,8,9,5,.471,-1,0,0,0,0,,6.0,6,0,0,0
473,Doc Young,2,1925-1926,8,1,7,0,.125,-6,0,0,0,0,,17.5,14,0,0,0
474,Swede Youngstrom,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
475,Mike Zimmer,1,2014,16,7,9,0,.438,-2,0,0,0,0,,3.0,3,,,
476,Jim Zorn,2,2008-2009,32,12,20,0,.375,-8,0,0,0,0,,4.0,4,0,0,0
